# Module & workspace
Education,التعليم
Omnexa Education,أومنكسا للتعليم
Student Portal,بوابة الطالب
Parent Portal,بوابة ولي الأمر
Edu Student Hub,مركز الطالب
Edu Parent Hub,مركز ولي الأمر

# Workspace section headers
✨ Omnexa Journey Experience,✨ تجربة أومنكسا التعليمية
📊 Dashboards & Portals,📊 لوحات التحكم والبوابات
🏫 Institution Setup (All),🏫 إعداد المؤسسة (شامل)
🎓 University (Banner / Workday),🎓 الجامعة (Banner / Workday)
🏫 K12 School (PowerSchool),🏫 المدارس K12 (PowerSchool)
👨‍🎓 Admissions & Enrollment,👨‍🎓 القبول والتسجيل
👩‍🏫 Faculty,👩‍🏫 هيئة التدريس
📝 Assessment & Grades,📝 التقييم والدرجات
📅 Scheduling & Timetable,📅 الجدول والمواعيد
🔒 Compliance & FERPA,🔒 الامتثال وخصوصية FERPA
📚 Library · Transport · Hostel,📚 المكتبة · النقل · السكن
🎯 Student Life & Alumni,🎯 الحياة الطلابية والخريجين
🔗 LMS · Mobile · Analytics,🔗 LMS · الجوال · التحليلات
💰 Fees & Finance,💰 الرسوم والمالية
👥 Administration,👥 الإدارة
📈 Reports · Enrollment & Admissions,📈 تقارير · القبول والتسجيل
📈 Reports · Attendance & Academics,📈 تقارير · الحضور والأكاديميات
📈 Reports · Billing & Finance,📈 تقارير · الفوترة والمالية
📈 Reports · Operations,📈 تقارير · العمليات
📈 Reports · Other,📈 تقارير · أخرى
📱 Pages (auto),📱 صفحات (تلقائي)
📁 Education DocTypes (auto),📁 مستندات التعليم (تلقائي)
📊 KPIs,📊 مؤشرات الأداء
📈 Charts,📈 المخططات
📌 Operations,📌 العمليات
Institution & people,المؤسسة والأفراد
Academic structure,الهيكل الأكاديمي

# Journey pages & desks
Education Workcenter,مركز عمل التعليم
Finance Workcenter,مركز عمل المالية
Laravel TLMS Integration,تكامل Laravel TLMS
Registrar Desk,مكتب التسجيل
Graduation Desk,مكتب التخرج
Alumni Desk,مكتب الخريجين
QA & Accreditation Desk,مكتب الجودة والاعتماد
QA Desk,مكتب الجودة
Admissions Portal,بوابة القبول
Teacher Gradebook,سجل درجات المعلم
Parent Portal (PWA),بوابة ولي الأمر (PWA)
Parent Mobile (PWA),بوابة ولي الأمر للجوال (PWA)
Timetable Board,لوحة الجداول
Analytics Dashboard,لوحة التحليلات
Executive Dashboard,لوحة الإدارة التنفيذية
Education Finance Desk,مكتب الشؤون المالية
Education Laravel Integration,تكامل Laravel
Education Student Portal,بوابة الطالب
Education Parent Mobile,بوابة ولي الأمر للجوال
Education QA Desk,مكتب ضمان الجودة
Education Alumni Desk,مكتب الخريجين
Education Graduation Desk,مكتب التخرج
Education Admissions Portal,بوابة القبول
Education Teacher Gradebook,سجل درجات المعلم
Education Timetable Board,لوحة الجداول
Education Analytics Dashboard,لوحة التحليلات
Education Executive Dashboard,لوحة الإدارة التنفيذية
Education Registrar Desk,مكتب التسجيل

# Workspace link labels (short)
Company,الشركة
Branch,الفرع
Education Settings,إعدادات التعليم
Institution,المؤسسة
Campus,الحرم
Department,القسم
Curriculum,المنهج
Academic Year,السنة الأكاديمية
Term,الفصل الدراسي
Grade Level,المستوى الدراسي
Subject,المادة
Room,القاعة
Program,البرنامج
Course,المقرر
Course Enrollment,تسجيل المقرر
Transcript Request,طلب كشف درجات
Section / Homeroom,الشعبة / الفصل
Teacher Assignment,تكليف المعلم
Timetable,الجدول الدراسي
Attendance Session,جلسة الحضور
Admission Application,طلب القبول
Online Application,التقديم الإلكتروني
Waitlist Pool,قائمة الانتظار
Lottery Run,قرعة القبول
Student Enrollment,تسجيل الطالب
Student,الطالب
Customer (ERP),العميل (ERP)
Teacher,المعلم
Employee (HR),الموظف (الموارد البشرية)
